Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
Yt-6604876,2025-05-22,2025-05-29,Same Day,CU7593,Diane Campos,Consumer,United States,Vanessaside,Virginia,South,PRD-92411,Technology,Phones,Line beyond its particularly.,1737.11,7,0.1,-104.79
ZJ-3877840,2025-07-15,2025-07-22,Second Class,CU0160,Samantha Cook,Home Office,United States,Janeland,Illinois,South,PRD-93328,Technology,Machines,Before year themselves your.,142.87,10,0.2,-4.15
In-1484185,2024-08-20,2024-08-23,Second Class,CU9894,Kyle Cruz,Consumer,United States,West Ivan,Idaho,East,PRD-09471,Office Supplies,Labels,Quickly candidate.,1564.43,7,0.0,-62.44
Zp-0186848,2023-11-30,2023-12-05,Second Class,CU3969,Johnathan Davidson,Consumer,United States,Christopherville,New York,West,PRD-95330,Furniture,Bookcases,Bring determine some.,1573.84,8,0.1,64.85
OI-6012309,2024-04-20,2024-04-22,Standard Class,CU9101,Lisa Johnston,Consumer,United States,Davisville,Arizona,West,PRD-90321,Technology,Phones,Decision song view age.,46.77,1,0.0,12.81
wB-9141314,2024-07-01,2024-07-07,Second Class,CU2087,Brian Mcneil,Corporate,United States,West Michael,Washington,West,PRD-79230,Furniture,Bookcases,Suddenly garden economy.,36.29,10,0.1,5.76
tP-7207698,2024-11-11,2024-11-16,First Class,CU5642,Alexandria Harmon,Consumer,United States,Joanneside,Louisiana,East,PRD-23759,Technology,Phones,Pull opportunity throughout.,1436.58,5,0.2,159.1
Mm-9246610,2025-05-30,2025-06-04,First Class,CU5233,Jamie Hutchinson,Consumer,United States,Johnsonshire,Nebraska,West,PRD-02714,Technology,Accessories,Land those traditional.,996.25,4,0.4,142.65
ZZ-0075470,2024-11-17,2024-11-21,First Class,CU6381,Bianca Smith,Consumer,United States,Stewartborough,Alabama,Central,PRD-08913,Furniture,Furnishings,Part cup few.,946.31,7,0.1,144.79
CZ-2176104,2025-01-21,2025-01-22,First Class,CU1428,Maria Wilson,Consumer,United States,West Melissa,Arizona,West,PRD-03485,Office Supplies,Labels,Voice travel among see.,743.41,3,0.1,52.05
ny-9776582,2025-01-31,2025-02-07,Standard Class,CU9402,Gavin Clarke,Corporate,United States,West Kimberlyton,Arizona,East,PRD-42294,Furniture,Tables,House nature fall long.,1829.14,4,0.0,510.38
vt-0428146,2024-02-08,2024-02-10,Second Class,CU6118,Kara Randall,Home Office,United States,Davidville,Vermont,South,PRD-76045,Technology,Copiers,Turn phone heart.,1832.14,1,0.4,-61.16
ag-1113306,2024-12-14,2024-12-19,First Class,CU6884,John Richards,Home Office,United States,South Christopher,Iowa,West,PRD-49263,Furniture,Furnishings,Boy state table agree.,1571.16,1,0.2,145.6
Pc-7317643,2024-09-17,2024-09-19,Standard Class,CU3921,James Payne,Consumer,United States,North Vanessa,New York,East,PRD-29668,Furniture,Furnishings,Quickly thousand street your.,1010.6,7,0.2,6.64
uc-3893055,2024-12-11,2024-12-17,First Class,CU8249,Sarah Aguilar,Consumer,United States,Jonesland,North Dakota,Central,PRD-01320,Furniture,Tables,Address such former.,454.78,10,0.4,58.73
cK-2758688,2023-12-08,2023-12-13,Second Class,CU1891,Susan Harris,Consumer,United States,Petersenfort,Missouri,West,PRD-99300,Office Supplies,Binders,Few now four.,969.49,4,0.0,269.26
Pi-4466602,2024-08-23,2024-08-30,First Class,CU3450,Karen Thomas,Corporate,United States,Lake Hollystad,Nebraska,Central,PRD-09767,Office Supplies,Storage,Big sing.,1007.36,4,0.0,-119.67
Pw-0992518,2023-08-21,2023-08-25,First Class,CU3671,Lisa Mcdonald,Consumer,United States,Debraport,Florida,South,PRD-64183,Office Supplies,Paper,Site know.,563.88,8,0.4,34.93
qb-3751007,2025-03-15,2025-03-18,Standard Class,CU8993,Ricardo Wilkerson,Home Office,United States,Hunterville,Georgia,Central,PRD-69611,Office Supplies,Labels,As indeed choose west.,446.01,3,0.2,-19.78
fw-7660754,2025-04-11,2025-04-16,Standard Class,CU1150,Christopher Greer,Home Office,United States,Port Michael,Rhode Island,East,PRD-23031,Office Supplies,Art,Fall ready.,1443.08,7,0.3,219.91
wT-9322717,2025-07-30,2025-08-02,Same Day,CU4203,John Carter,Consumer,United States,Jackland,Connecticut,South,PRD-89426,Technology,Phones,Watch source firm.,1372.62,7,0.0,379.37
Mb-3245602,2024-02-10,2024-02-13,First Class,CU6112,Juan Yang,Corporate,United States,New Robert,South Dakota,Central,PRD-51375,Furniture,Furnishings,Around impact individual rock fly.,297.91,3,0.1,-52.79
hJ-5471214,2024-01-11,2024-01-12,Second Class,CU9276,Javier Thompson,Corporate,United States,Petersonhaven,Georgia,South,PRD-57173,Office Supplies,Labels,Ability recognize peace.,1006.89,3,0.0,-46.74
BT-3414892,2023-08-12,2023-08-17,First Class,CU7173,Jennifer Chen,Corporate,United States,North Josephton,Alabama,South,PRD-46896,Office Supplies,Storage,Bill education exist sense.,1900.69,10,0.4,-160.24
Iv-3910144,2025-07-11,2025-07-14,First Class,CU1832,Scott Campbell,Home Office,United States,New Alexandra,Indiana,East,PRD-81686,Furniture,Furnishings,Factor head pick.,348.88,9,0.3,-9.06
JQ-1166972,2023-12-05,2023-12-09,Second Class,CU4576,John Mason,Corporate,United States,Pearsonton,New Hampshire,East,PRD-42709,Office Supplies,Fasteners,Agent likely thousand.,98.65,4,0.2,-5.74
hN-8116050,2023-08-13,2023-08-17,First Class,CU0443,Kenneth Lee,Home Office,United States,Murraymouth,Missouri,Central,PRD-25662,Furniture,Tables,Value challenge firm decade.,1441.28,7,0.1,255.58
Ym-7566763,2023-12-29,2024-01-01,First Class,CU7390,Amanda Schultz,Consumer,United States,West Brian,South Dakota,Central,PRD-23949,Furniture,Chairs,Relate mention.,1244.91,1,0.0,153.56
LD-5670886,2024-03-13,2024-03-20,Second Class,CU7473,Andrew Williams,Corporate,United States,Adamtown,Florida,West,PRD-16396,Technology,Phones,Tv law fund bill third.,649.09,4,0.4,-48.57
Hc-5587540,2025-04-14,2025-04-16,First Class,CU3513,Haley Hood,Home Office,United States,Emilyport,Maryland,East,PRD-86475,Office Supplies,Envelopes,And various authority.,845.07,10,0.2,-35.41
hf-7706777,2024-07-29,2024-08-02,Same Day,CU1312,Thomas Alexander,Corporate,United States,Port Ronaldfurt,Arizona,Central,PRD-23732,Furniture,Bookcases,Various floor itself.,654.13,4,0.0,42.43
MD-4983478,2024-10-11,2024-10-16,Same Day,CU8443,Lucas Joseph,Consumer,United States,Lake Robert,Indiana,Central,PRD-40886,Office Supplies,Binders,Business population.,255.7,5,0.3,0.01
eH-9538433,2023-11-05,2023-11-07,First Class,CU4535,Donna Jackson,Home Office,United States,New Williamstad,Pennsylvania,West,PRD-02622,Office Supplies,Paper,Yard career deal trip market.,1242.99,10,0.1,41.45
Li-3323659,2025-03-23,2025-03-29,Second Class,CU7190,Heather Bryant,Consumer,United States,East Angelaburgh,Texas,Central,PRD-77851,Office Supplies,Storage,Case I course.,644.31,4,0.3,24.56
vC-4603053,2024-04-07,2024-04-11,Standard Class,CU3452,Herbert Ryan,Consumer,United States,West Andrew,South Dakota,East,PRD-00300,Office Supplies,Envelopes,Watch force start.,218.6,6,0.2,5.15
tl-6237625,2024-04-29,2024-05-02,First Class,CU5660,Dennis Schmidt,Consumer,United States,Maloneshire,Delaware,Central,PRD-66208,Office Supplies,Appliances,Perform product style.,476.51,9,0.4,69.35
Zk-2153230,2025-01-30,2025-02-02,First Class,CU8216,Linda Oliver,Home Office,United States,Mckinneyton,Kentucky,West,PRD-56007,Office Supplies,Fasteners,Group public.,835.54,10,0.4,61.85
ZF-3852654,2024-07-26,2024-08-02,First Class,CU6048,Krista Madden,Home Office,United States,Sarahton,New Jersey,West,PRD-61657,Technology,Copiers,Again science.,227.29,3,0.1,-31.57
yq-4943885,2023-09-01,2023-09-07,Standard Class,CU3195,Terri Sanchez,Home Office,United States,Franciscoberg,Michigan,West,PRD-09092,Office Supplies,Envelopes,Guy personal follow situation.,1107.0,7,0.0,318.98
iv-6202907,2024-11-14,2024-11-17,Same Day,CU0749,Joshua Coleman,Consumer,United States,New Geoffrey,Texas,South,PRD-29188,Technology,Phones,His itself find add sing.,1016.39,5,0.3,11.51
mT-4488855,2025-05-03,2025-05-05,First Class,CU6208,Matthew Bradshaw,Consumer,United States,Wardton,Oklahoma,Central,PRD-69305,Furniture,Bookcases,Word citizen create great record.,1771.91,8,0.3,371.09
KC-3934261,2023-08-20,2023-08-27,Standard Class,CU3781,Carmen Mclean,Home Office,United States,Waltersview,Kentucky,Central,PRD-65951,Technology,Accessories,Air action economy.,549.44,3,0.1,58.97
wK-6666097,2025-03-20,2025-03-25,Second Class,CU2945,Jennifer Mccall,Corporate,United States,North Christopher,Minnesota,South,PRD-50131,Furniture,Chairs,Likely fire subject west agent.,1381.15,10,0.4,100.95
tG-2462926,2024-06-05,2024-06-09,Same Day,CU0222,Michele Moran,Home Office,United States,Lake Madisonton,Oklahoma,Central,PRD-62591,Technology,Accessories,Nice spend.,274.03,5,0.0,68.47
WC-4544872,2024-01-09,2024-01-10,First Class,CU8209,Jose Huang,Consumer,United States,Lisaland,Illinois,East,PRD-79378,Technology,Phones,Remember tree care.,1495.35,4,0.3,12.08
Xf-8081850,2025-03-27,2025-03-28,First Class,CU1695,Gabriella Gray,Consumer,United States,Vanessaville,Florida,Central,PRD-50220,Furniture,Tables,Though cover including artist.,1980.2,7,0.4,147.54
dC-6092516,2024-04-03,2024-04-09,First Class,CU5994,Kristine Lara,Home Office,United States,Whitemouth,Kentucky,East,PRD-36151,Technology,Copiers,Ago again identify.,658.54,9,0.3,103.26
dI-0578771,2025-01-23,2025-01-29,Standard Class,CU6408,Ronald Cook,Corporate,United States,South Tammyberg,North Dakota,East,PRD-40065,Technology,Phones,War receive civil.,94.39,4,0.0,-9.79
co-2395076,2025-04-02,2025-04-04,Same Day,CU3532,Julie Walter,Home Office,United States,South Annette,Alabama,East,PRD-29062,Technology,Phones,Affect station member.,1642.28,5,0.1,108.1
Yb-0199226,2023-09-04,2023-09-09,Standard Class,CU6695,Tammy Cox,Consumer,United States,New Richard,Florida,East,PRD-69516,Office Supplies,Labels,Early high trouble drive.,1345.22,7,0.3,74.45
Ib-6914485,2024-08-13,2024-08-17,Standard Class,CU9973,Levi Dillon,Home Office,United States,Maynardville,Ohio,East,PRD-02606,Technology,Phones,Item bit leave left.,1728.36,2,0.2,154.45
hx-5762948,2023-12-15,2023-12-22,First Class,CU5257,Nicole Gonzalez,Consumer,United States,Gregoryshire,Massachusetts,South,PRD-46048,Technology,Accessories,Alone improve heart decade.,1540.57,2,0.1,205.26
Kz-2195206,2023-11-18,2023-11-24,First Class,CU7116,Kristen Jackson,Consumer,United States,East Jeremy,North Dakota,South,PRD-27594,Furniture,Tables,Range sort trial study.,1539.01,3,0.3,-181.54
yV-4258582,2025-03-28,2025-04-03,Standard Class,CU8436,Travis Hunt,Home Office,United States,Forbesville,Utah,South,PRD-22099,Furniture,Tables,Blood single recently other owner.,174.45,1,0.2,19.59
ah-1492610,2024-09-07,2024-09-14,Standard Class,CU5751,Jackie Horton,Consumer,United States,Burnettbury,Hawaii,West,PRD-88182,Technology,Phones,Still support.,198.25,10,0.4,-6.58
bL-8693764,2025-06-18,2025-06-20,Same Day,CU2627,Sydney Noble,Home Office,United States,Lake Briannamouth,Iowa,Central,PRD-87079,Furniture,Furnishings,Environmental medical.,226.53,3,0.4,22.36
kt-6742385,2024-10-06,2024-10-07,First Class,CU9271,Karen Knight,Corporate,United States,Hawkinsview,New Mexico,West,PRD-31425,Technology,Accessories,Catch ten.,1978.82,1,0.3,301.65
JS-2983006,2025-05-06,2025-05-11,First Class,CU9717,Shelly Cooper,Home Office,United States,Lake Adambury,New York,East,PRD-44307,Office Supplies,Art,Water meeting future back.,1771.4,10,0.0,233.79
mV-6356234,2024-10-24,2024-10-28,First Class,CU7546,Sandra Wilson,Consumer,United States,Vincentfort,Iowa,South,PRD-55645,Technology,Phones,Should research executive black.,1159.95,7,0.2,-97.52
vF-4172532,2025-07-07,2025-07-14,Second Class,CU3166,Joel Walls,Consumer,United States,Lake Reginald,Maryland,South,PRD-73580,Technology,Accessories,Line hour.,1520.93,2,0.2,275.96
mU-6090614,2024-01-29,2024-02-02,Standard Class,CU5212,Helen Hall,Corporate,United States,North Patricktown,Florida,West,PRD-19931,Office Supplies,Binders,Culture ability to suffer.,1736.9,2,0.2,-79.75
Za-8233667,2023-09-26,2023-09-28,Second Class,CU6360,Debra Aguilar,Corporate,United States,Margaretmouth,Tennessee,Central,PRD-29814,Office Supplies,Storage,Resource evening.,575.08,2,0.1,58.0
mA-2926395,2025-01-24,2025-01-31,First Class,CU8818,Thomas Martinez,Corporate,United States,Harrisonmouth,Oklahoma,Central,PRD-52646,Technology,Phones,North friend.,235.33,8,0.0,-20.44
CU-3735760,2025-05-05,2025-05-07,Standard Class,CU0867,David Woods,Corporate,United States,East Scott,Mississippi,East,PRD-79281,Technology,Copiers,Feel military pull.,1705.97,6,0.2,-119.86
yR-2505927,2023-09-20,2023-09-21,Same Day,CU3673,Anthony Vaughan,Home Office,United States,Pamhaven,Illinois,West,PRD-52889,Furniture,Furnishings,Its plant pay together number.,1724.99,1,0.2,-266.78
JU-9703795,2024-01-18,2024-01-19,First Class,CU3000,Jeremy Craig,Corporate,United States,Lake Gabrielle,Wisconsin,West,PRD-86457,Technology,Accessories,Clear newspaper ground.,160.12,2,0.4,11.28
Wh-6757123,2024-07-11,2024-07-15,Second Class,CU2678,Jacob Williams,Home Office,United States,Clarkchester,Pennsylvania,West,PRD-96830,Technology,Machines,Most trade final.,856.5,6,0.3,-105.95
AN-8119703,2024-10-01,2024-10-04,First Class,CU5410,Cynthia Faulkner,Consumer,United States,New Michellehaven,Mississippi,Central,PRD-27419,Furniture,Chairs,Everything stuff detail himself.,65.36,9,0.2,1.36
uO-5394102,2024-09-02,2024-09-06,Same Day,CU9971,Kelsey Graham,Home Office,United States,Danieltown,Delaware,East,PRD-69220,Furniture,Furnishings,Relationship easy picture.,1783.88,6,0.3,270.65
VI-6154593,2024-02-27,2024-03-04,First Class,CU8058,Candice Simpson,Consumer,United States,Lake Michellemouth,Florida,Central,PRD-51986,Furniture,Furnishings,Edge bit.,194.22,10,0.4,32.35
